source,target
"Cambridge","Computer Science"
"Cambridge","Physics"
"Cambridge","Physics"
"Cambridge","Computer Science"
"Cambridge","Google Research"
"Cambridge","Linguistics"
"Cambridge","Pharmacology"
"Cambridge","History of Science"
"Cambridge","Biology"
"Cambridge","Computer Science"
"Cambridge","Neurobiology"
"Cambridge","Chemistry"
"Cambridge","Medicine"
"Cambridge","Architecture and Urban Planning"
"Cambridge","History of Science"
"Cambridge","Gender Medicine"
"Cambridge","Gender and Diversity in Organizations"
