name,sex,home_location,home_longitude,home_latitude,workshop_location_1,workshop_location_2,workshop_location_3,workshop_location_4,workshop_location_5,workshop_location_6,workshop_location_7,discipline
Londa Schiebinger,F,"Stanford, CA, USA",-122.1701137,37.4266268,"Stanford, CA"," Berlin, Germany"," Maastricht, Netherlands"," Paris, France"," Brussels, Belgium"," Madrid, Spain","Cambridge, MA",History of Science
Ineke Klinge,F,"Maastricht, Netherlands",5.6968191,50.85790405,"Stanford, CA"," Berlin, Germany"," Maastricht, Netherlands"," Paris, France"," Brussels, Belgium"," Madrid, Spain","Cambridge, MA",Gender Medicine
Martina Schraudner,F,"Berlin, Germany",13.3888599,52.5170365,"Stanford, CA"," Berlin, Germany"," Maastricht, Netherlands"," Paris, France"," Brussels, Belgium"," Madrid, Spain","Cambridge, MA",Gender and Diversity in Organizations
Iní©s Síçnchez de Madariaga,F,"Madrid, Spain",-3.7035825,40.4167047,"Berlin, Germany"," Paris, France"," Brussels, Belgium"," Madrid, Spain","Cambridge, MA",,,Architecture and Urban Planning
Marcia Stefanick,F,"Stanford, CA, USA",-122.1701137,37.4266268,"Brussels, Belgium","Cambridge, MA","Stanford, CA"," Maastricht, Netherlands",,,,Medicine
Antonis Argyros,M,Crete,24.46414542,35.3084127,"Cambridge, MA",,,,,,,Computer Science
Atta Badii,M,"Reading, UK",-0.9673727,51.4580216,"Paris, France",,,,,,,Robotics
Pascal Baudrit,M,"Paris, France",2.3521334,48.8565056,"Paris, France",,,,,,,Mechanical Engineering
Tomas Brage,M,"Lund, Sweden",13.1929449,55.7029296,"Cambridge, MA"," Paris, France",,,,,,Physics
Ingrida Bremere,F,"Riga, Latvia",24.1051846,56.9493977,"Madrid, Spain",,,,,,,Environmental Sciences
Antoinette Brink,F,"Maastricht, Netherlands",5.6968191,50.85790405,"Maastricht, Netherlands",,,,,,,Microbiology
Amy Bug,F,"Philadelphia, PA, USA",-75.163789,39.952335,"Cambridge, MA",,,,,,,Physics
Annika Carlsson-Kanyama,F,"Stockholm, Sweden",18.0710935,59.3251172,"Madrid, Spain",,,,,,,Environmental Sciences
Hilda RíŸmer Christensen,F,"Copenhagen, Denmark",12.5700724,55.6867243,"Brussels, Belgium",,,,,,,Sociology
Hans Clevers,M,"Utrecht, Netherlands",5.1104136,52.0959423,"Maastricht, Netherlands",,,,,,,Genetics
Justine Cassell,F,"Pittsburgh, PA, US",-79.9900861,40.4416941,"Berlin, Germany",,,,,,,Human-Computer Interaction
Cecile Crutzen,F,"Heerlen, Netherlands",5.9860764,50.8842745,"Berlin, Germany",,,,,,,Informatics
