source,target
"Maastricht","Microbiology"
"Maastricht","Genetics"
"Maastricht","Orthopedic Surgery"
"Maastricht","Biomedicine"
"Maastricht","Genetics"
"Maastricht","Neuroscience"
"Maastricht","Biology"
"Maastricht","Mechanical Engineering"
"Maastricht","Microbiology"
"Maastricht","Informatics"
"Maastricht","Cardiology"
"Maastricht","Engineering"
"Maastricht","Sociology"
"Maastricht","History of Science"
"Maastricht","Gender Medicine"
"Maastricht","Gender and Diversity in Organizations"
"Maastricht","Medicine"
